Price,Area,Location,BHK,Resale,SwimmingPool,LandscapedGardens,ClubHouse,CarParking,LiftAvailable,price_per_sq_ft
9000000,410,Dahisar West,1,True,True,True,True,True,True,21951.219512195123
10000000,585,Dahisar West,1,True,True,True,True,True,True,17094.017094017094
8000000,610,Dahisar West,1,True,True,True,True,True,True,13114.754098360656
15000000,610,Dahisar West,1,True,True,True,True,True,True,24590.16393442623
9000000,410,Dahisar West,1,True,True,True,True,True,True,21951.219512195123
10000000,585,Dahisar West,1,True,True,True,True,True,True,17094.017094017094
8000000,610,Dahisar West,1,True,True,True,True,True,True,13114.754098360656
15000000,610,Dahisar West,1,True,True,True,True,True,True,24590.16393442623
11700000,490,Dahisar West,1,True,True,True,True,True,True,23877.551020408162
11500000,550,Dahisar West,1,True,True,True,True,True,True,20909.090909090908
14000000,550,Dahisar West,1,True,True,True,True,True,True,25454.545454545456
38000000,1500,Dahisar West,3,True,True,True,True,True,True,25333.333333333332
7500000,400,Dahisar West,1,True,True,True,True,True,True,18750.0
12700000,550,Dahisar West,1,True,True,True,True,True,True,23090.909090909092
9600000,500,Dahisar West,1,True,True,True,True,True,True,19200.0
18500000,1050,Dattapada,2,True,False,False,False,True,True,17619.04761904762
21000000,1250,Dattapada,2,True,False,False,False,True,True,16800.0
15000000,1050,Dattapada,2,True,False,False,False,True,True,14285.714285714286
18500000,1050,Dattapada,2,True,False,False,False,True,True,17619.04761904762
21000000,1250,Dattapada,2,True,False,False,False,True,True,16800.0
15000000,1050,Dattapada,2,True,False,False,False,True,True,14285.714285714286
16500000,1050,Dattapada,2,True,False,False,False,True,True,15714.285714285714
19000000,1050,Dattapada,2,True,False,False,False,True,True,18095.238095238095
15000000,950,Dattapada,2,True,False,False,False,True,True,15789.473684210527
24000000,1300,Dattapada,3,True,False,False,False,True,True,18461.53846153846
11200000,600,Dattapada,1,True,False,False,False,True,True,18666.666666666668
15500000,1050,Dattapada,2,True,False,False,False,True,True,14761.904761904761
16500000,1050,Dattapada,2,True,False,False,False,True,True,15714.285714285714
18000000,1050,Dattapada,2,True,False,False,False,True,True,17142.85714285714
15000000,1050,Dattapada,2,True,False,False,False,True,True,14285.714285714286
17500000,950,Dattapada,2,True,False,False,False,True,True,18421.052631578947
19500000,1200,Dattapada,3,True,False,False,False,True,True,16250.0
2018000,375,Dombivali,1,False,False,False,False,False,False,5381.333333333333
16000000,791,Dombivali,2,True,True,True,True,True,True,20227.5600505689
10500000,450,Dombivali,1,True,True,True,True,True,True,23333.333333333332
14900000,700,Dombivali,1,True,True,True,True,True,True,21285.714285714286
